"Source:","F:\OneDrive\proje\git\esp32DevKitL\ESP32-DEVKIT-L\ESP32-DEVKIT-L.kicad_sch"
"Date:","21.02.2023 11:56:47"
"Tool:","Eeschema (6.0.8)"
"Generator:","g:\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","133"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BUT1, ","1","T1107A(6x3,8x2,5MM)","SIDE_WTCM-TR(3x4)","OLIMEX_Buttons-FP:T1107A(6x3,8x2,5MM)","",""
"C1, ","1","220uF/50V/10*10mm","C_Polarized","Capacitor_SMD:CP_Elec_10x10.5","Polarized capacitor",""
"C2, C5, C6, C7, C13, ","5","22uF/6.3V/20%/X5R/C0603","C","Capacitors:0603","",""
"C3, ","1","1nF/2000V/10%/X7R/C1206","C","Capacitors:1206","",""
"C4, ","1","NA(1nF/2000V/10%/X7R/C1206)","C","Capacitors:1206","",""
"C8, C12, C14, C15, C16, C18, ","6","100nF/50V/20%/Y5V/C0603","C","Capacitors:0603","",""
"C9, C10, ","2","27pF/50V/5%/C0G/C0603","C","Capacitors:0603","",""
"C11, C19, C21, ","3","330uF/6.3V/20%/X5R/C1210","C","Capacitors:1210","",""
"C17, ","1","2.2uF/6.3V/10%/X5R/C0603","C","Capacitors:0603","",""
"C20, ","1","NA(10uF/6.3V/20%/X5R/C0603)","C","Capacitors:0603","",""
"C22, ","1","1uF/C0603","C","Capacitors:0603","",""
"C23, ","1","100nF/6.3V/20%/X5R/C0603","C","Capacitors:0603","",""
"C24, ","1","47uF/6.3V/20%/X5R/C0805","C","Capacitors:0805","",""
"C25, C26, C27, C28, C29, C30, C31, C32, ","8","1uF/6.3V/20%/X5R/C0603","C","Capacitors:0603","",""
"CON1, ","1","NA(NH1x20)","CON20","OLIMEX_Connectors-FP:HN1x20","",""
"D1, ","1","1N5822/SS34/SMA","D_Schottky","OLIMEX_Diodes-FP:SMA-KA","",""
"D2, ","1","SMBJ6.0A(DO-214AA)","SMBJ6.0A","OLIMEX_Diodes-FP:DO214AA_1(K)-2(A)","",""
"D3, D4, ","2","1N5819S4/SOD123","D_Schottky","OLIMEX_Diodes-FP:SOD-123_1C-2A_KA","",""
"D5, ","1","BAT54C(SOT23-3)","BAT54C(SOT23-3)","OLIMEX_Diodes-FP:SOT23-3","",""
"FET1, FET2, ","2","WPM2015-3/TR","P-MOS+DIOD","OLIMEX_Transistors-FP:SOT23","",""
"FID1, FID2, FID3, ","3","Fiducial","Fiducial","OLIMEX_Other-FP:Fiducial1x3","",""
"GND1, ","1","TESTPAD","TESTPAD","OLIMEX_Other-FP:TESTPAD_40-ROUND","",""
"I²C0, I²C1, I²C2, I²C3, I²C4, I²C5, I²C6, I²C7, ","8","Conn_01x04_P1.00mm_Stemma qt/Qwiic","Conn_01x04","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
