Designator,Mid X,Mid Y,Rotation,Layer
_3,26.3,54.775,0.0,top
_2,49.271,15.75,0.0,top
,37.715,52.225,0.0,top
BUT1,5.584,42.67,180.0,top
C1,65.575,65.09834,90.0,top
C10,40.763,25.525,0.0,top
C11,46.475,17.7276,90.0,top
C12,36.826,48.131,270.0,top
C13,39.874,35.939,270.0,top
C14,28.19,35.812,270.0,top
C15,34.921,45.591,0.0,top
C16,23.999,44.956,180.0,top
C17,23.999,40.003,180.0,top
C18,23.999,41.527,180.0,top
C19,46.225,26.4,180.0,top
C2,20.188999,40.765,0.0,top
C20,36.318,41.146,180.0,top
C21,43.425,17.7276,90.0,top
C22,18.538,21.715,180.0,top
C23,38.52416,8.75082,180.0,top
C24,16.633,27.176,0.0,top
C25,18.075,7.60082,0.0,top
C26,42.2,7.60082,0.0,top
C27,57.95084,7.60082,0.0,top
C28,2.32584,7.60082,0.0,top
C29,25.95084,7.60082,0.0,top
C3,22.475,54.608,270.0,top
C30,50.07584,7.60082,0.0,top
C31,65.82416,7.60082,0.0,top
C32,10.20084,7.60082,0.0,top
C4,22.475,62.228,90.0,top
C5,36.064,35.812,90.0,top
C6,34.54,35.812,90.0,top
C7,25.269,18.667,180.0,top
C8,40.255,22.35,0.0,top
C9,25.269,25.525,180.0,top
CON1,25.396,11.809,0.0,top
D1,45.97,33.145,180.0,top
D2,46.224,29.843,180.0,top
D3,39.874,17.016,270.0,top
D4,37.842,17.016,90.0,top
D5,16.633,40.257,180.0,top
FET1,20.062,36.32,90.0,top
FET2,47.748,36.828,270.0,top
FID1,7.87,15.746,0.0,top
FID3,47.825,63.95,0.0,top
J1,57.025,49.05,270.0,top
J2,19.85,3.45082,0.0,top
J3,43.975,3.45082,0.0,top
J4,59.725,3.45082,0.0,top
J5,4.1,3.45082,0.0,top
J6,27.725,3.45082,0.0,top
J7,51.85,3.45082,0.0,top
J8,67.6,3.45082,0.0,top
J9,11.975,3.45082,0.0,top
L1,16.506,37.844,0.0,top
L2,37.969,36.193,90.0,top
L3,16.633,25.271,180.0,top
LED1,45.6995,58.9,180.0,top
LED_E1,46.475,53.525,90.0,bottom
MH1,46.732,68.705,0.0,top
MH2,3.552,17.524,0.0,top
MICRO_SD1,6.727,28.7,180.0,top
PHY_RST1,36.135488,39.3015,90.0,bottom
PWRLED1,45.6995,54.455,180.0,top
Q1,33.016,27.43,0.0,top
Q2,21.332,23.62,0.0,top
Q3,21.205,20.064,0.0,top
R1,20.189,42.289,180.0,top
R10,32.127,15.3015,0.0,top
R11,40.255,20.826,0.0,top
R12,44.192,35.939,180.0,top
R13,45.6995,52.677,180.0,top
R14,25.269,22.858,180.0,top
R15,25.269,21.08,180.0,top
R16,17.649,20.064,180.0,top
R17,36.318,39.625,0.0,top
R18,23.999,46.734,180.0,top
R19,12.696,39.241,180.0,top
R2,20.188999,39.241,0.0,top
R20,11.426,19.937,180.0,top
R21,17.014,23.366,180.0,top
R22,16.887,35.177,180.0,top
R23,16.887,33.653,180.0,top
R24,8.251,19.937,180.0,top
R25,32.075,8.65082,0.0,top
R26,42.1,9.17582,180.0,top
R27,35.35,8.65082,180.0,top
R28,45.6995,57.122,0.0,top
R29,20.35,8.39918,270.0,top
R3,35.175,48.131,90.0,top
R30,44.475,8.40082,270.0,top
R31,60.225,8.39918,270.0,top
R32,4.6,8.40082,270.0,top
R33,11.426,21.461,180.0,top
R34,16.887,31.875,0.0,top
R35,8.251,21.461,180.0,top
R36,21.825,8.40082,270.0,top
R37,45.95,8.40082,270.0,top
R38,61.7,8.40082,270.0,top
R39,6.075,8.40082,270.0,top
R4,22.094,67.435,90.0,top
R40,16.633,28.954,180.0,top
R41,12.696,35.939,180.0,top
R42,28.225,8.39918,270.0,top
R43,52.35,8.40082,270.0,top
R44,68.1,8.39754,270.0,top
R45,12.475,8.4041,270.0,top
R46,13.95,8.40082,270.0,top
R47,29.7,8.40082,270.0,top
R48,53.825,8.40082,270.0,top
R49,69.575,8.40082,270.0,top
R5,42.033,62.863,270.0,top
R50,12.696,44.067,0.0,top
R51,12.696,42.543,180.0,top
R52,12.696,41.019,0.0,top
R53,51.25,61.35,0.0,top
R54,58.325,61.35,0.0,top
R6,28.952,48.131,270.0,top
R7,26.666,48.131,270.0,top
R8,32.762,48.131,270.0,top
R9,30.476,48.131,270.0,top
RM1,31.365,35.812,180.0,top
RM2,25.015,35.812,0.0,top
RST1,5.584,36.828,180.0,top
Sign-Antistatic,58.6445,58.6455,0.0,bottom
Sign-RecyclBin,57.4225,51.827,0.0,bottom
Sign_Pb-Free,69.7,8.93,180.0,bottom
Sign_RoHS,69.7545,1.4265,0.0,bottom
T1,18.792,44.702,180.0,top
U2,32.127,20.064,90.0,top
U3,30.349,41.781,270.0,top
U5,35.85,4.02582,90.0,top
U6,10.41,59.942,0.0,top
U7,54.975,68.45,90.0,top
